trade_id,trade_date,timepoint,prod_winner,prod_margin,ktc_winner,ktc_margin,ktc_playersonly_winner,ktc_playersonly_margin,verdict_flip
1296312256438497280,2025-11-18,then,wkerwin,100.0,gnewman4,5029.6,,0.0,YES
1296312256438497280,2025-11-18,now,gnewman4,17.0,gnewman4,5054.3,,0.0,no
1296287239650684928,2025-11-17,then,tylerpilgrim,0.0,thekylecasey,499.5,,0.0,YES
1296287239650684928,2025-11-17,now,tylerpilgrim,849.0,tylerpilgrim,1341.5,,0.0,no
1296216363412516864,2025-11-17,then,brevinowens,763.0,mgaeta23,1167.9,,0.0,YES
1296216363412516864,2025-11-17,now,brevinowens,260.0,mgaeta23,1632.0,,0.0,YES
1295662941210697728,2025-11-16,then,jwalters74,0.0,cjsyregelas,407.0,cjsyregelas,407.0,YES
1295662941210697728,2025-11-16,now,cjsyregelas,2610.0,cjsyregelas,1074.0,cjsyregelas,1074.0,no
1294350847387398144,2025-11-12,then,jwalters74,1414.0,thekylecasey,5388.5,thekylecasey,594.0,YES
1294350847387398144,2025-11-12,now,jwalters74,417.0,thekylecasey,8146.3,thekylecasey,3429.0,YES
1294198173723557888,2025-11-12,then,gnewman4,329.0,tylerpilgrim,2036.2,gnewman4,387.3,YES
1294198173723557888,2025-11-12,now,gnewman4,303.0,tylerpilgrim,1562.0,gnewman4,836.0,YES
1294189559839465472,2025-11-12,then,lndahayo,1471.0,lndahayo,5440.4,lndahayo,4067.0,no
1294189559839465472,2025-11-12,now,lndahayo,1642.0,lndahayo,4763.5,lndahayo,3427.0,no
1294076505202098176,2025-11-11,then,donewton,374.0,tylerpilgrim,1836.8,donewton,553.0,YES
1294076505202098176,2025-11-11,now,tylerpilgrim,60.0,tylerpilgrim,2836.4,tylerpilgrim,458.0,no
1294061216544587776,2025-11-11,then,mgaeta23,372.0,gnewman4,91.8,gnewman4,2736.0,YES
1294061216544587776,2025-11-11,now,mgaeta23,774.0,mgaeta23,1213.0,gnewman4,1327.0,no
1293486502654791680,2025-11-10,then,zachlearningtogolf,185.0,zachlearningtogolf,1874.1,gnewman4,647.0,no
1293486502654791680,2025-11-10,now,zachlearningtogolf,319.0,zachlearningtogolf,2721.3,zachlearningtogolf,279.0,no
1290567058949427200,2025-11-02,then,tylerpilgrim,440.0,jwalters74,1755.5,tylerpilgrim,668.0,YES
1290567058949427200,2025-11-02,now,jwalters74,408.0,jwalters74,3777.7,jwalters74,1419.0,no
1290362815730708480,2025-11-01,then,thekylecasey,877.0,lndahayo,752.8,lndahayo,4100.0,YES
1290362815730708480,2025-11-01,now,lndahayo,1.0,lndahayo,1575.6,lndahayo,4666.0,no
1288261486111641600,2025-10-26,then,gnewman4,2244.0,gnewman4,7174.0,donewton,1696.0,no
1288261486111641600,2025-10-26,now,gnewman4,3339.0,gnewman4,8229.7,donewton,130.0,no
1287157631126876160,2025-10-23,then,donewton,37.0,donewton,1705.3,tylerpilgrim,655.0,no
1287157631126876160,2025-10-23,now,tylerpilgrim,5.0,donewton,2278.7,tylerpilgrim,66.0,YES
1286931153982361600,2025-10-23,then,jwalters74,658.0,zachlearningtogolf,1799.0,jwalters74,572.0,YES
1286931153982361600,2025-10-23,now,jwalters74,12.0,zachlearningtogolf,2190.1,jwalters74,176.0,YES
1286819210667765760,2025-10-22,then,thekylecasey,449.0,thekylecasey,4222.6,tylerpilgrim,6339.0,no
1286819210667765760,2025-10-22,now,thekylecasey,4994.0,thekylecasey,7541.1,tylerpilgrim,4219.0,no
1286504609589776384,2025-10-21,then,jwalters74,871.0,mgaeta23,45.0,mgaeta23,4.0,YES
1286504609589776384,2025-10-21,now,jwalters74,489.0,jwalters74,58.5,jwalters74,70.0,no
1282804334102343680,2025-10-11,then,jwalters74,357.0,zachlearningtogolf,6699.1,jwalters74,582.0,YES
1282804334102343680,2025-10-11,now,jwalters74,1891.0,zachlearningtogolf,5802.7,jwalters74,1430.0,YES
1282507621953204224,2025-10-10,then,wkerwin,57.0,wkerwin,42.5,,0.0,no
1282507621953204224,2025-10-10,now,lndahayo,46.0,lndahayo,341.7,,0.0,no
1281334172710883328,2025-10-07,then,tylerpilgrim,182.0,tylerpilgrim,831.0,tylerpilgrim,831.0,no
1281334172710883328,2025-10-07,now,tylerpilgrim,528.0,tylerpilgrim,976.0,tylerpilgrim,976.0,no
1278946311571251200,2025-10-01,then,lndahayo,735.0,lndahayo,612.2,lndahayo,750.0,no
1278946311571251200,2025-10-01,now,lndahayo,840.0,lndahayo,1647.1,lndahayo,1949.0,no
1278942529986764800,2025-10-01,then,lndahayo,558.0,jwalters74,1763.0,lndahayo,608.0,YES
1278942529986764800,2025-10-01,now,lndahayo,849.0,jwalters74,978.1,lndahayo,1388.0,YES
1278916121231106048,2025-10-01,then,tylerpilgrim,902.0,gnewman4,992.8,,0.0,YES
1278916121231106048,2025-10-01,now,tylerpilgrim,257.0,gnewman4,357.6,,0.0,YES
1278793259467935744,2025-09-30,then,donewton,2155.0,donewton,391.1,,0.0,no
1278793259467935744,2025-09-30,now,donewton,275.0,jwalters74,1082.0,,0.0,YES
